Cannon algrithm: multiply a 84x87 with a 87x78, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 16x94 with a 94x36, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 87x93 with a 93x50, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 22x63 with a 63x28, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 91x60 with a 60x64, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 27x41 with a 41x27, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 73x37 with a 37x12, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 69x68 with a 68x30, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 83x31 with a 31x63, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 24x68 with a 68x36, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 30x3 with a 3x23, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 59x70 with a 70x68, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 94x57 with a 57x12, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 43x30 with a 30x74, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 22x20 with a 20x85, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 38x99 with a 99x25, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 16x71 with a 71x14, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 27x92 with a 92x81, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 57x74 with a 74x63, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 71x97 with a 97x82, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 6x26 with a 26x85, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 28x37 with a 37x6, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 47x30 with a 30x14, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 58x25 with a 25x96, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 83x46 with a 46x15, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 68x35 with a 35x65, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 44x51 with a 51x88, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 9x77 with a 77x79, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 89x85 with a 85x4, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 52x55 with a 55x100, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 33x61 with a 61x77, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 69x40 with a 40x13, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 27x87 with a 87x95, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 40x96 with a 96x71, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 35x79 with a 79x68, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 2x98 with a 98x3, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 18x93 with a 93x53, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 57x2 with a 2x81, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 87x42 with a 42x66, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 90x45 with a 45x20, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 41x30 with a 30x32, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 18x98 with a 98x72, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 82x76 with a 76x10, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 28x68 with a 68x57, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 98x54 with a 54x87, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 66x7 with a 7x84, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 20x25 with a 25x29, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 72x33 with a 33x30, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 4x20 with a 20x71, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 69x9 with a 9x16, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 41x50 with a 50x97, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 24x19 with a 19x46, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 47x52 with a 52x22, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 56x80 with a 80x89, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 65x29 with a 29x42, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 51x94 with a 94x1, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 35x65 with a 65x25, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 15x88 with a 88x57, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 44x92 with a 92x28, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 66x60 with a 60x37, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 33x52 with a 52x38, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 29x76 with a 76x8, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 75x22 with a 22x59, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 96x30 with a 30x38, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 36x94 with a 94x19, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 29x44 with a 44x12, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 29x30 with a 30x77, use 0.00(s)
Matrix compare succeeded, with norm = 0.00000000
Cannon algrithm: multiply a 5x44 with a 44x64, use 0.00(s)
